id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
ITGA2	-0.935025535	0.024987488	0.012382317	-2.945499685	23.18417284	1.90719808179715	1.60227740143951
CSNK2A2	-0.810778107	0.025002425	0.012402332	-2.93520452	18.27421756	1.90649664713533	1.60201786680622
PA2G4	-0.25177869	0.025002425	0.012403656	-2.935147265	27.0286692	1.90645028688597	1.60201786680622
CHST12	0.667060661	0.025003342	0.012411079	2.934826172	18.82291293	1.9061904599698	1.60200193872177
AS3MT	0.444254794	0.025095226	0.012463682	2.932556357	23.04435022	1.90435364017593	1.60040888883983
TACC2	-0.823364429	0.025391439	0.012617875	-2.925957538	20.90683443	1.89901377928216	1.59531268581197
CHMP3	0.575868227	0.025401349	0.012629879	2.925447182	20.01381948	1.89860081016391	1.59514321851002
SPON1	0.349837297	0.025419439	0.012645958	2.924764346	33.35014074	1.89804826490763	1.59483403843555
CLP1	0.652439572	0.025555904	0.012727119	2.921330745	20.5589671	1.89526989516859	1.59250875195125
RAB11B	-0.382558823	0.025555904	0.012728094	-2.921289633	23.42841077	1.89523662598164	1.59250875195125
RPL37A	-0.890919634	0.025571258	0.012742868	-2.920667005	18.05921546	1.8947328156116	1.59224790595806
FLOT1	0.442893622	0.025586045	0.012761778	2.919871083	23.88973559	1.89408881450234	1.59199684062403
DNAH1	1.089521687	0.025586045	0.012764498	2.919756686	16.2014117	1.89399626038319	1.59199684062403
HCFC1	-0.535421752	0.025812344	0.01288459	-2.914730448	23.33020794	1.88992939655976	1.58817255570244
ACBD3	-0.452734562	0.025954184	0.012962625	-2.91148935	23.39784394	1.88730704263388	1.58579262079662
MYL6	-0.53493981	0.025954782	0.012970157	-2.911177507	22.07803473	1.88705476687498	1.58578261450598
HSPA2	-0.524349061	0.026026736	0.013013368	-2.909392162	21.89520269	1.88561028879453	1.58458029313055
MKI67	-0.621589847	0.026029538	0.013022024	-2.909035242	23.50123282	1.88532150856999	1.58453354014398
CCDC25	-0.467109202	0.026062505	0.01304578	-2.908056847	22.63610821	1.88452994955963	1.58398384436429
ITGA1	-1.241389301	0.026086116	0.013064869	-2.907271968	18.77465017	1.88389494053768	1.58359057882759
CCNE1	-0.634439393	0.026148993	0.013103648	-2.905680978	19.09221567	1.88260778177039	1.58254503119304
POLE3	-0.423728738	0.026343412	0.013208416	-2.901405959	22.13221055	1.87914926139431	1.57932797588882
CAV1	-1.853757126	0.02647613	0.013282339	-2.934001535	19.30700476	1.87672543962567	1.57714549515658
NIN	-1.316682135	0.026480738	0.013292032	-2.898119989	20.21443954	1.87640862184663	1.57706991557443
PSMA7	0.315389578	0.026494611	0.013306379	2.89743902	27.02178479	1.87594011088662	1.57684245251476
YWHAH	0.474742581	0.026542581	0.013337869	2.896170017	24.72697019	1.87491355238869	1.5760568486322
FKBP5	-0.890397	0.026542775	0.013345364	-2.895868413	20.34744933	1.87466957616381	1.57605367438093
NOL4L	-1.066505155	0.026708099	0.01343593	-2.892237261	18.50588327	1.87173226746009	1.5733570226185
RNF123	-0.437423401	0.026734851	0.01345684	-2.891402381	21.830919	1.87105691126238	1.57292223198848
FREM2	0.514514626	0.026787373	0.013490742	2.890051445	22.49644357	1.86996416317884	1.57206987495263
CASK	-1.225153292	0.026845818	0.013527869	-2.888575861	18.69795846	1.86877061097304	1.57112335841805
NUCKS1	-0.328312073	0.026845818	0.013535141	-2.888287335	29.14891721	1.86853721568195	1.57112335841805
ZYG11B	-1.387372569	0.026871064	0.013555358	-2.891509156	17.85639335	1.8678890081188	1.57071513668629
MTHFD1	-0.424708971	0.026889593	0.0135722	-2.886819261	23.34584054	1.86734974921434	1.57041577119402
RIMBP3	-1.635513328	0.026903711	0.013594322	-2.933679175	22.07578136	1.86664244743664	1.57018781086512
USP48	-1.29601687	0.026903711	0.013593379	-2.886082778	18.41816387	1.86667257427205	1.57018781086512
PAPSS1	-1.74444637	0.026911398	0.013605707	-2.91598746	18.21055774	1.86627888584152	1.57006374081241
SGSM2	0.923995036	0.026993095	0.013654534	2.883571827	20.45164782	1.86472311681183	1.56874731683809
FJX1	-0.409311278	0.027173145	0.013753186	-2.879706267	21.70927386	1.86159668351077	1.56586009374623
PLPP2	-0.53447388	0.027423071	0.013887325	-2.874494179	18.18707757	1.8573814007433	1.5618839119217
GLMN	0.72761526	0.027437411	0.013902233	2.873917979	17.95838351	1.85691543703439	1.56165687115263
