id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
CHD3	-1.525569596	0.003048926	0.000876099	-4.383803772	21.23858049	3.05744681537944	2.51585311619928
EXOC2	-0.960375404	0.003048981	0.000876964	-4.383243778	19.54316165	3.05701823436743	2.51584528197141
CDH1	0.404693746	0.003056934	0.000880104	4.381217157	27.33885488	3.05546600517098	2.51471393770349
GLOD4	-1.217760505	0.003095094	0.000892159	-4.373504383	22.63126612	3.0495577390443	2.50932615664019
DSC3	1.027139773	0.003095094	0.000892816	4.373087301	20.97512279	3.049238035421	2.50932615664019
EIF3J	-0.99304672	0.003115634	0.000899609	-4.368791858	23.72908955	3.04594620838226	2.50645356547836
SRSF11	-1.421668046	0.003135166	0.000906122	-4.36470487	20.6442921	3.04281332510491	2.50373945930683
IDH1	-0.494482764	0.00314172	0.000908892	-4.362976148	26.83256857	3.04148771918797	2.50283252326599
TASP1	-0.721483297	0.003153543	0.000914541	-4.359467604	15.85674812	3.03879681979432	2.50120124282655
PPFIBP1	-1.246802484	0.003153543	0.00091468	-4.359381397	22.17443793	3.03873081690774	2.50120124282655
PGM1	-0.878036358	0.003153543	0.000914949	-4.359214635	25.77230365	3.03860311318587	2.50120124282655
EML1	-0.79140452	0.003177689	0.000922841	-4.354352946	22.72134293	3.03487311887764	2.49788860939204
NUDT5	-0.50623173	0.003181742	0.000924904	-4.353088524	25.0227443	3.03390334232465	2.49733503918317
STAT1	-0.89558186	0.003185807	0.000927968	-4.351216823	21.48547798	3.03246699971113	2.49678053781733
METTL3	-0.91276489	0.003185807	0.000928482	-4.350903785	17.63696732	3.03222651128494	2.49678053781733
B4GALNT1	-0.99210487	0.003185807	0.00092875	-4.350740546	20.64445178	3.03210117323137	2.49678053781733
FUT6	-1.082251918	0.003205772	0.000935463	-4.346665027	16.26786246	3.02897338530305	2.49406736865155
WDR54	-0.994337201	0.003206938	0.000936698	-4.345919116	20.5589514	3.02840040705711	2.49390943624186
HEATR1	-1.40742934	0.003215915	0.000940216	-4.343798453	19.98496486	3.02677236253663	2.49269543862968
HSPG2	0.408970689	0.003222116	0.000942927	4.342170032	29.89742925	3.02552192839137	2.49185882851858
ACP1	-0.871228672	0.00322435	0.000944479	-4.341239586	19.21259345	3.02480769394703	2.49155782207213
REEP4	-1.115666135	0.003231367	0.000947435	-4.339472508	21.25642625	3.02345057567087	2.4906137145223
