id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
DENND10	0.182148016	0.47874816	0.320519307	1.037615787	22.12743032	0.494145804925141	0.319892882168767
YRDC	0.119349699	0.47874816	0.320638991	1.037347771	20.94479983	0.493983666802503	0.319892882168767
RNASEH1	0.256470792	0.478755757	0.320745265	1.037109847	18.62780773	0.493839746175327	0.319885990635227
CABIN1	0.291993603	0.478755757	0.320828353	1.036923872	18.54946199	0.493727258195454	0.319885990635227
TALDO1	0.066232561	0.478755757	0.32086246	1.036847541	26.51524989	0.493681091157971	0.319885990635227
SH3KBP1	0.253368392	0.478866756	0.321004546	1.036529621	19.11938193	0.493488817162932	0.319785311604068
MAP7	-0.065337033	0.479533114	0.321573802	-1.035256935	23.36084081	0.492719339619736	0.319181397396515
TXN	-0.076915639	0.479533114	0.32158681	-1.035227874	28.55329003	0.492701772304462	0.319181397396515
ATRIP	-0.39681269	0.479775137	0.321816939	-1.036514953	21.17192764	0.492391100322077	0.31896226187774
WDR12	0.095535267	0.480320624	0.322276276	1.033688712	24.21730255	0.491771663403299	0.318468765230501
NUFIP2	-0.069054408	0.480320624	0.322328249	-1.033572786	23.94073441	0.491701631046151	0.318468765230501
BPHL	0.22068528	0.480320624	0.322386532	1.033442803	18.73805489	0.491623109547642	0.318468765230501
ZC3H13	0.259740346	0.480407866	0.322512999	1.033160813	16.89216367	0.49145277628391	0.318389890252422
