id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
CCNH	0.03507063	0.833044945	0.773575381	0.294480243	21.10616879	0.111497360106522	0.0793315666137181
MTG2	-0.043887054	0.833240902	0.773875138	-0.294078	18.67044298	0.111329105534189	0.0792294196209487
DMXL1	-0.191607658	0.833573392	0.774488486	-0.29379043	17.8285782	0.110985034333225	0.0790561566789125
ZMYM4	-0.083183122	0.833573392	0.774598742	-0.293255318	21.93796094	0.110923212672557	0.0790561566789125
NOTCH2NLB	0.117363779	0.833573392	0.774653046	0.293090494	17.46600854	0.110892767101685	0.0790561566789125
VPS37A	-0.036946877	0.833573392	0.774655284	-0.293031366	21.82068792	0.110891512411406	0.0790561566789125
MSRB2	0.241636782	0.833889822	0.775258638	0.292914109	18.66658006	0.110553386116324	0.0788913268902798
PBDC1	0.025837111	0.833889822	0.775180354	0.292327134	24.86128418	0.110597242481426	0.0788913268902798
KLHL33	0.030001663	0.833889822	0.77539897	0.292033968	21.30761466	0.110474780222816	0.0788913268902798
MANSC4	-0.035912293	0.833889822	0.775420872	-0.292004598	22.62974348	0.110462513268931	0.0788913268902798
ARHGEF18	-0.054503363	0.833908926	0.77555652	-0.291822709	17.31435815	0.11038654674829	0.0788813775342287
PCYT1A	0.023004029	0.834108364	0.775859914	0.291415928	23.63836905	0.110216686047018	0.0787775239065549
LONP1	0.022238146	0.834692101	0.776520881	0.290529903	25.18499923	0.109846861402071	0.0784736963685845
BEND3	-0.113128152	0.835269378	0.777176003	-0.289688834	17.56722779	0.109480617652258	0.0781734400707374
NELFE	-0.022937997	0.835343227	0.777461694	-0.289269171	22.72554448	0.109320999721385	0.07813504431924
EIF3B	-0.014773363	0.835343227	0.777480888	-0.289243455	26.28685309	0.109310277977209	0.07813504431924
MRPL51	0.101891825	0.836052107	0.778371836	0.288107592	19.80616576	0.108812886628544	0.0777666542866384
SREK1	0.036866754	0.836052107	0.77837704	0.288043041	22.07374763	0.10880998305364	0.0777666542866384
AHSG	-0.131234057	0.836622062	0.779025943	-0.287254153	17.57157552	0.108448079279762	0.0774706871155054
UGCG	0.089957231	0.836949059	0.779448742	0.28660806	18.12955025	0.108212439549549	0.0773009745855458
USF3	-0.117413915	0.837711653	0.780277365	-0.285691644	20.51876909	0.107750991313581	0.0769054432559438
CD82	0.052667019	0.837715311	0.78040227	0.285411307	23.08743953	0.107681476018883	0.0769035468447615
MRPL32	0.062839841	0.837715311	0.780555963	0.28514723	21.62546743	0.107595954163638	0.0769035468447615
SLC35C1	0.045263818	0.837715311	0.780752097	0.284863759	18.21622701	0.107486840636918	0.0769035468447615
TMCO6	0.054568088	0.837715311	0.780754459	0.284860599	17.64448356	0.107485526772993	0.0769035468447615
BLOC1S1	-0.089614997	0.837918305	0.781062101	-0.284449013	18.89443762	0.107314434689388	0.0767983219630822
KDF1	0.097107144	0.838244843	0.781484978	0.283906737	18.96132308	0.107079365737449	0.07662910973157
MTRR	-0.023793352	0.838980362	0.782289295	-0.282807703	21.73577347	0.106632612684102	0.0762482045763654
STAT2	0.052472957	0.839363277	0.78276499	0.282171706	21.83905206	0.106368606864098	0.0760500355357004
MTCL1	0.052142327	0.839585175	0.783090612	0.281736425	18.60948808	0.106187982495358	0.0759352385895623
