id	WT_Rep1	WT_Rep2	WT_Rep3	KO.CDR1_Rep1	KO.CDR1_Rep2	KO.CDR1_Rep3	KO.CDR2_Rep1	KO.CDR2_Rep2	KO.CDR2_Rep3	KO.CDR2L_Rep1	KO.CDR2L_Rep2	KO.CDR2L_Rep3
RFX5	87932.79672	29046.28552	125875.4596	93188.66743	42238.82418	271880.3433	36049.45296	305932.4531	321351.728	301328.8526		302372.2879
MIB1	363156.0552	211429.667	126254.5604	165596.6598	270785.1045	188248.6757	362224.7649		203567.4789	143987.0663	319237.0219	190983.6704
ZFYVE9	102367.1009	122957.7782	126801.2809	94652.83144	106968.5187	128878.8166	88465.83216	80556.83594	74443.43702	113223.2395	99038.06144	111283.2958
HTRA1	137751.8827	136074.092	126861.21	215332.3801	220013.7664	169979.8732	88750.92768	101283.6016	102412.9151			
PAIP2B	198713.9349	142994.5061	127027.087	51452.94943	71840.76881	66431.23433	164221.9156	123813.5469	169867.5551	126696.5384	100993.154	204484.445
TMEM54	158002.6164	124359.2462	127072.2115			164603.3671	150633.2233	163294.1563		258845.1582	255628.8227	194646.5821
TCP11L2	176384.961	169284.8382	127094.8277	325219.0766	182987.4926	204550.4114	121168.9644	192699.4219	142600.7293	222863.4229	206738.9366	179700.4227
LRP4	242209.5396	168394.7525	127232.1597	196272.3399	303057.2449	237064.2218	223352.076	246319.5	322486.905	481125.7357	574231.0473	344253.8319
ZC3H13	101321.6385	94971.90957	127285.4865	172627.9135	185435.7787	96420.96237	145846.2853	116034.0313	124212.2459	89835.29168	132541.17	110810.3306
SNX33	230774.1194	215668.4221	128232.65	311845.8582	168815.5254	145664.684	130638.2187	141786.9844	211066.3544	194756.0496	172310.1791	194360.2281
SBF1	115181.298	114894.4668	129878.8348	76555.92262	103560.6604	92937.92306	70414.85784	76210.77344	73333.93803	115405.9247	111197.6166	105288.4928
CCDC102A	156484.6204	151382.2305	129996.6565	84599.19347	100853.9386	91641.80278		101409.2813	162937.2124	151936.3087	184548.0497	144094.8786
CCM2	119077.1162	142960.9468	130200.7837	106405.752	110460.5117	91110.13317	140219.7281	116415.0234	103556.1293	93413.45266	67775.86907	79082.80369
SLC39A11	116821.6429	123499.5445	130741.0718	119282.5045	156121.6713	139499.3447	158614.6332	151551.7656	147758.4609	166240.585	196422.2911	178465.6252
DENND2A	137437.2826	147032.5915	130904.8262	843239.7549	251666.8141	241088.0594	154022.9813	195003.4531	145688.6985	69463.99631	55627.19954	54807.78399
ZBTB21	222097.0227	169852.6113	131281.9848	195242.2656	192158.1711	179055.697	147316.485	109979.9609	145496.2694		104655.1051	90607.83526
PDGFB	326743.1863	327363.1815	132159.3065	1408282.642	1302600.073	1114895.485	333990.8577	294925.2656	368211.3967	566781.0572	687577.2573	458979.039
SETD6	143259.0522	129891.5316	132218.2227	143339.7679	106408.6334	148835.6154	137036.105	100374.0547	114835.1429	169989.5402	170169.3734	142442.9684
SEMA4B	142856.8779	134146.6057	133343.3954	149120.1373	114116.1707	111536.7032	121492.5382	136120.2656	126133.1219	333004.6761	300289.1043	278736.4593
DHRS1	113947.5534	135477.7786	134696.7662	113430.9682	125647.8513		113439.3913	118211.3984	91756.00029	173435.4516	144848.1766	
FBXO42	116159.5603	101104.942	134784.2678	134618.6528	113569.4158	106964.5319	86793.65713	80857.52344	107413.3975	72382.32721	83451.25359	97699.80954
RIN2	171326.6796	145482.429	134854.2281	110335.515	129102.3459	120885.7789	135948.635	143356.1367	127466.4104	146495.2812	154557.5868	206822.283
POMGNT1	134318.2065	131071.9131	134988.5782	70915.85807	82116.94736	78377.53469	77378.43269	64029.17969	87768.75132	139956.1605	150505.0928	152098.6608
CDR2	110849.8457	169771.6544	136188.506	188332.4801	141356.7001	226109.5285				117069.77	122641.8668	176406.9812
CENPC	165166.2875	189653.8675	136477.6028	200878.6756	169767.2848	124746.9528	146688.3004	138399.2656	139143.0606	172384.6385	166396.2213	149628.0676
CYB5R4	286700.6296	282463.2508	136804.2172	297465.5544	58327.75039	51275.38871	338905.7093	115557.2891	299400.3087	129372.6223	87923.63011	143085.8364
SYNJ1	186907.1782	137524.8578	137865.0325	160500.7693	158481.7097	160406.4831	156221.3735	134024.125	150686.8985	139033.4978	125051.143	145763.467
LY75	119329.1908	109719.5204	137989.4591	215898.8408	224539.3819	219905.9951	126762.1381	152507.8281	166483.1842	175411.7132	206374.5068	169587.4623
FNDC10	82353.40772	95241.66994	137998.6176	185149.6716	183297.5122	400577.1651	538962.4524	257573.1094	491601.3821	134057.4631	124216.2583	145201.2754
RASSF1	140238.1985	174118.0497	138112.5388	143076.4081	164537.8568	133407.9927	118532.6591	135379.6406	154932.261	76618.22886	108807.5475	79073.23389
SGPP2	138417.8381	120203.8808	138303.0792	106408.9366	71383.19085	78994.26886	101409.5858	168869.3281	125586.0581	73179.41647	116586.2244	
TMEM222	121146.0071	217224.4145	138843.3565	338373.973	201065.7416	393859.2614	256451.707	473406.6406	374314.4374	454043.7045	512120.7925	501383.7403
PUS10	121903.2572	132788.8981	138856.9218	100012.9111	87453.31196	76495.59716	97274.87233	98248.55469	92307.9693	115063.1324	125857.3552	106038.139
IFT46	192438.5144	260469.6229	138967.3951	230421.7661	160450.3817	159630.5678	238677.1127	198770.3125	227929.0393	132216.9832	131548.9777	
ODC1	81247.97757	209161.8325	139101.6267		146242.7404		88065.26618					
PCDH12	111935.5351	123475.5914	139199.3535	137139.9934	194084.0444	127510.7327	139628.659	199370.3125	135471.2042	75897.99997	103961.1615	66141.19571
FIGN	129207.5104		139443.6598	127769.253	115762.7681	118409.4067	156187.8119	127778.8594	150312.5662	172429.7498	131373.8642	177456.7509
TRAF5	148027.6861	120256.4125	139481.5329	504319.0701	381083.1377	150434.4243	427744.3621	285387.1094	358346.4507	72684.68445	66361.13957	246670.3661
RNF121	130352.7106	128729.9209	139673.3124	155871.5222	197657.5907	197840.9259	175883.7192	200566.8281	188047.6248	142432.9945	185505.6215	197848.7491
IL1RL2	272858.9308	190782.7729	139995.8539	140737.972	106228.4555	127521.7345	189439.8118	185984.375	173459.2582	224462.0986	161601.2893	149963.3894
IKBKE	124714.2559	126594.0252	140262.7871	232819.0787	116167.8932	203526.9725	138805.6337	132821.6914	172002.8402	205386.9974	167805.2315	123079.6856
MAPT	51229.60269	58312.07403	140766.2364	38433.50082	221242.8613	385962.4434	757459.0364	771614.9063	757103.3255	434970.2076	342997.6868	452085.8834
SNAPC1	161548.7551	145399.0202	141494.7374	232612.2622	186493.0291	220031.3421	152139.4341	155883	167764.6822	178494.2665	123948.8935	167007.6942
C11orf52	171853.9049	135275.2328	141496.4398	154730.6614	183530.9519	165598.9518	251843.8444	216040.5781	197564.2295	142271.1748	179123.7157	170379.5703
ZNF48	240904.65	188461.3366	141536.5003		59700.37673	130131.3066		52203.43359	104960.0032	49957.56164		18516.77677
SMTN	433526.3229	151566.9266	142075.2152	160941.0734	157435.1289	163320.9829	131592.7116	379217	157072.0595	134782.5176	485496.4104	154187.615
CCPG1	114862.6888	199612.2384	142187.8435	75610.98108	133069.7712	150983.8775	46933.95746	110620.7344	59552.97572	53502.85424	132617.4217	52723.20162
NFAT5	166916.7136	139428.7461	142214.7911	278817.9088	233901.0628	237230.3141	177312.4389	178688.5156	233390.7349	268901.6978	323561.0604	237479.515
IGFBP5	92116.85938	132707.2023	142222.6566	539642.8727	592462.5777	506216.8989	121475.8108			127262.7879		
ERBB3	239813.3157	211254.198	142677.0701	205920.6491	251249.8407	152227.6372	186593.9335	131798.0469	184728.0612	301477.7776	485874.9095	468874.8715
C17orf107	108199.9276	102333.3354	143060.3704	135397.0221	124661.6825	119172.9962	126677.4592	91671.75781	106978.0986	157197.5674	144744.3248	148265.644
ZHX3	118497.869	127253.4459	143307.7474	149173.9438	462646.352	472877.7729	87695.38484		295983.2276	429895.7793	400804.5399	471852.9742
TNFRSF1A	228768.187	171054.5085	143385.6056	157492.395	57266.50319	87046.16389	63689.57664	70392.17969	93463.27622	143784.8912	139838.8972	151040.6465
ATAD2B	120705.4098	99983.20521	143778.3984	58002.72589	97829.61661	97214.04777	209078.0373	164964.5313	88665.3486	112779.0712		
